,Landmark,Landmark Position,Weight
RMEV,MDL06,0.12,1
RMFL,MDR03,0.1,1
RMFL,MVR01,0.06,1
RMFL,MVR03,0.1,1
RMGL,MDL05,0.15,2
RMGL,MVL05,0.15,2
RMGR,MDR05,0.15,1
RMGR,MVR05,0.14,1
RMGR,MVR07,0.2,1
RMHL,MDR01,0.06,2.666666667
RMHL,MDR03,0.1,2.666666667
RMHL,MVR01,0.06,2.666666667
RMHR,MDL01,0.06,1.75
RMHR,MDL03,0.1,1.75
RMHR,MDL05,0.15,1.75
RMHR,MVL01,0.06,1.75
SMBDL,MDR02,0.05,1.6
SMBDL,MDR01,0.06,1.6
SMBDL,MDR04,0.07,1.6
SMBDL,MDR03,0.1,1.6
SMBDL,MDR06,0.12,1.6
SMBDR,MDL02,0.05,1.666666667
SMBDR,MDR04,0.07,1.666666667
SMBDR,MDL04,0.07,1.666666667
SMBDR,MDL03,0.1,1.666666667
SMBDR,MDL06,0.12,1.666666667
SMBDR,MDR08,0.18,1.666666667
SMBVL,MVL02,0.05,0.857142857
SMBVL,MVL01,0.06,0.857142857
SMBVL,MVL04,0.08,0.857142857
SMBVL,MVL03,0.1,0.857142857
SMBVL,MVL06,0.12,0.857142857
SMBVL,MVL05,0.15,0.857142857
SMBVL,MVL08,0.18,0.857142857
SMBVR,MVR02,0.05,1
SMBVR,MVR01,0.06,1
SMBVR,MVR04,0.08,1
SMBVR,MVR03,0.1,1
SMBVR,MVR06,0.12,1
SMBVR,MVR07,0.2,1
SMDDL,MDR02,0.05,0.454545455
SMDDL,MDR04,0.07,0.454545455
SMDDL,MDL04,0.07,0.454545455
SMDDL,MDR03,0.1,0.454545455
SMDDL,MDR06,0.12,0.454545455
SMDDL,MDL06,0.12,0.454545455
SMDDL,MDR05,0.15,0.454545455
SMDDL,MDL08,0.16,0.454545455
SMDDL,MDR07,0.21,0.454545455
SMDDL,MVL02,0.05,0.454545455
SMDDL,MVL04,0.08,0.454545455
SMDDR,MDR04,0.07,0.428571429
SMDDR,MDL04,0.07,0.428571429
SMDDR,MDR06,0.12,0.428571429
SMDDR,MDL06,0.12,0.428571429
SMDDR,MDL05,0.15,0.428571429
SMDDR,MDL08,0.16,0.428571429
SMDDR,MVR02,0.05,0.428571429
SMDVL,MVR02,0.05,0.5
SMDVL,MVR04,0.08,0.5
SMDVL,MVR03,0.1,0.5
SMDVL,MVL03,0.1,0.5
SMDVL,MVR06,0.12,0.5
SMDVL,MVL06,0.12,0.5
SMDVR,MVL02,0.05,1
SMDVR,MVL04,0.08,1
SMDVR,MVL03,0.1,1
SMDVR,MVR07,0.2,1
URADL,MDL02,0.05,2
URADL,MDL04,0.07,2
URADL,MDL03,0.1,2
URADR,MDR02,0.05,2.333333333
URADR,MDR01,0.06,2.333333333
URADR,MDR03,0.1,2.333333333
URAVL,MVL02,0.05,2.25
URAVL,MVL01,0.06,2.25
URAVL,MVL04,0.08,2.25
URAVL,MVL03,0.1,2.25
URAVR,MVR02,0.05,2
URAVR,MVR01,0.06,2
URAVR,MVR04,0.08,2
URAVR,MVR03,0.1,2
VA1,MVR08,0.17,2.75
VA1,MVL08,0.18,2.75
VA1,MVL07,0.2,2.75
VA1,MVR07,0.2,2.75
VA2,MVL07,0.2,4.75
VA2,MVR07,0.2,4.75
VA2,MVL10,0.22,4.75
VA2,MVR10,0.22,4.75
VA3,MVL10,0.22,4.833333333
VA3,MVR10,0.22,4.833333333
VA3,MVL09,0.27,4.833333333
VA3,MVR09,0.27,4.833333333
VA3,MVL12,0.29,4.833333333
VA3,MVR12,0.29,4.833333333
VA4,MVL12,0.29,6.25
VA4,MVR12,0.29,6.25
VA4,MVL11,0.35,6.25
VA4,MVR11,0.35,6.25
VA5,MVL11,0.35,4.75
VA5,MVR11,0.35,4.75
VA5,MVL14,0.39,4.75
VA5,MVR14,0.39,4.75
VA6,MVL14,0.39,5
VA6,MVR14,0.39,5
VA6,MVL13,0.44,5
VA6,MVR13,0.44,5
VA7,MVL13,0.44,3.857142857
VA7,MVR13,0.44,3.857142857
VA7,MVL16,0.48,3.857142857
VA7,MVR16,0.48,3.857142857
VA7,MVL15,0.54,3.857142857
VA7,MVR15,0.54,3.857142857
VA7,MVULVA,0.54,3.857142857
VA8,MVL16,0.48,5.75
VA8,MVR16,0.48,5.75
VA8,MVL15,0.54,5.75
VA8,MVR15,0.54,5.75
VA9,MVL15,0.54,4.675675676
VA9,MVR15,0.54,4.675675676
VA9,MVL18,0.6,4.675675676
VA9,MVR18,0.6,4.675675676
VA10,MVL17,0.64,4.675675676
VA10,MVR17,0.64,4.675675676
VA10,MVL18,0.6,4.675675676
VA10,MVR18,0.6,4.675675676
VA11,MVL19,0.73,4.675675676
VA11,MVR19,0.73,4.675675676
VA11,MVL20,0.67,4.675675676
VA11,MVR20,0.67,4.675675676
VA12,MVL21,0.77,4.675675676
VA12,MVR22,0.77,4.675675676
VA12,MVL22,0.81,4.675675676
VA12,MVR21,0.81,4.675675676
VB1,MVR08,0.17,1.25
VB1,MVL08,0.18,1.25
VB1,MVL07,0.2,1.25
VB1,MVR07,0.2,1.25
VB2,MVL07,0.2,3.25
VB2,MVR07,0.2,3.25
VB2,MVL10,0.22,3.25
VB2,MVR10,0.22,3.25
VB2,MVL09,0.27,3.25
VB2,MVR09,0.27,3.25
VB2,MVL12,0.29,3.25
VB2,MVR12,0.29,3.25
VB3,MVL12,0.29,5.833333333
VB3,MVR12,0.29,5.833333333
VB3,MVL11,0.35,5.833333333
VB3,MVR11,0.35,5.833333333
VB3,MVL14,0.39,5.833333333
VB3,MVR14,0.39,5.833333333
VB4,MVL11,0.35,5
VB4,MVR11,0.35,5
VB4,MVL14,0.39,5
VB4,MVR14,0.39,5
VB5,MVL14,0.39,5.5
VB5,MVR14,0.39,5.5
VB5,MVL13,0.44,5.5
VB5,MVR13,0.44,5.5
VB6,MVL16,0.48,5.6
VB6,MVR16,0.48,5.6
VB6,MVL15,0.54,5.6
VB6,MVR15,0.54,5.6
VB6,MVULVA,0.54,5.6
VB7,MVL15,0.54,4.682926829
VB7,MVR15,0.54,4.682926829
VB8,MVL18,0.6,5.333333333
VB8,MVR18,0.6,5.333333333
VB8,MVL17,0.64,5.333333333
VB8,MVR17,0.64,5.333333333
VB8,MVL20,0.67,5.333333333
VB8,MVR20,0.67,5.333333333
VB9,MVL17,0.64,6
VB9,MVR17,0.64,6
VB9,MVL20,0.67,6
VB9,MVR20,0.67,6
VB10,MVL20,0.67,4.682926829
VB10,MVR20,0.67,4.682926829
VB10,MVL19,0.73,4.682926829
VB10,MVR19,0.73,4.682926829
VB11,MVL21,0.77,4.682926829
VB11,MVR22,0.77,4.682926829
VB11,MVL22,0.81,4.682926829
VB11,MVR21,0.81,4.682926829
VC1,MVULVA,0.54,6
VC2,MVULVA,0.54,10
VC3,MVULVA,0.54,11
VC4,MVULVA,0.54,7
VC5,MVULVA,0.54,2
VC6,MVULVA,0.54,1
VD1,MVR05,0.14,3
VD1,MVL05,0.15,3
VD1,MVR08,0.17,3
VD1,MVL08,0.18,3
VD2,MVL07,0.2,5.5
VD2,MVR07,0.2,5.5
VD2,MVL10,0.22,5.5
VD2,MVR10,0.22,5.5
VD3,MVL09,0.27,5.75
VD3,MVR09,0.27,5.75
VD3,MVL12,0.29,5.75
VD3,MVR12,0.29,5.75
VD4,MVL12,0.29,6.25
VD4,MVR12,0.29,6.25
VD4,MVL11,0.35,6.25
VD4,MVR11,0.35,6.25
VD5,MVL14,0.39,13
VD5,MVR14,0.39,13
VD6,MVL14,0.39,4.5
VD6,MVR14,0.39,4.5
VD6,MVL13,0.44,4.5
VD6,MVR13,0.44,4.5
VD6,MVL16,0.48,4.5
VD6,MVR16,0.48,4.5
VD7,MVL16,0.48,4.8
VD7,MVR16,0.48,4.8
VD7,MVL15,0.54,4.8
VD7,MVR15,0.54,4.8
VD7,MVULVA,0.54,4.8
VD8,MVL15,0.54,12.5
VD8,MVR15,0.54,12.5
VD9,MVL18,0.6,7
VD9,MVR18,0.6,7
VD9,MVL17,0.64,7
VD9,MVR17,0.64,7
VD10,MVL17,0.64,5.5
VD10,MVR17,0.64,5.5
VD10,MVL20,0.67,5.5
VD10,MVR20,0.67,5.5
VD11,MVL20,0.67,5.744186047
VD11,MVR20,0.67,5.744186047
VD11,MVL19,0.73,5.744186047
VD11,MVR19,0.73,5.744186047
VD12,MVL19,0.73,3.25
VD12,MVR19,0.73,3.25
VD12,MVL21,0.77,3.25
VD12,MVR22,0.77,3.25
VD13,MVL21,0.77,5.744186047
VD13,MVR22,0.77,5.744186047
VD13,MVL22,0.81,5.744186047
VD13,MVR21,0.81,5.744186047
VD13,MVL23,0.84,5.744186047
VD13,MVR23,0.84,5.744186047
VD13,MVR24,0.89,5.744186047
VB11,MVL23,0.84,4.682926829
VB11,MVR23,0.84,4.682926829
VB11,MVR24,0.89,4.682926829
VA12,MVL23,0.84,4.675675676
VA12,MVR23,0.84,4.675675676
VA12,MVR24,0.89,4.675675676
DD6,MDL24,0.85,4.7
DD6,MDL23,0.89,4.7
DD6,MDR24,0.85,4.7
DD6,MDR23,0.89,4.7
DB7,MDL24,0.85,2.6
DB7,MDL23,0.89,2.6
DB7,MDR24,0.85,2.6
DB7,MDR23,0.89,2.6
DA9,MDL24,0.85,4
DA9,MDL23,0.89,4
DA9,MDR24,0.85,4
DA9,MDR23,0.89,4
AS11,MDL24,0.85,2.708333333
AS11,MDL23,0.89,2.708333333
AS11,MDR24,0.85,2.708333333
AS11,MDR23,0.89,2.708333333
